PID,age,gender,education,socialMediaUsage,socialMediaAcceptance,hasLicence,hasCarAccess,rideShareUsage,pedCycleFreq,rank_car,rank_ev,rank_bus,rank_motorbike,rank_lgv,rank_hgv,rank_none,tlGripe,mapUsage,mapHelp,position,speed,signals,passengers,totalStops,stopTime,duration,distance,emissionClass,vehicleType,speedFactor,UTMAcceptance,deliveryMode,busPriority,emergencyPriority,sharedPriority,evPriority,tradePriority
3497255,60+,Male,BACHELORS,MONTHLY,5,YES,YES,WEEKLY_ONCE,RARELY,1,-1,2,-1,-1,-1,-1,WAITING,RARELY,YES,4,3,3,2,5,5,4,4,5,5,2,5,BUILTIN,YES,YES,NO,YES,NO
3498412,40-59,Male,DOCTORATE,WEEKLY_MULTI,3,YES,YES,RARELY,RARELY,1,-1,-1,-1,-1,-1,-1,WAITING,RARELY,YES,4,2,5,5,5,5,5,5,5,5,1,6,BUILTIN,YES,YES,NO,YES,NO
3498718,40-59,Female,DIPLOMA,DAILY,1,YES,YES,RARELY,RARELY,1,-1,-1,-1,-1,-1,-1,STARTSTOP,MONTHLY,YES,5,1,5,5,5,5,5,5,5,5,1,8,APP,YES,YES,NO,NO,NO
3507922,60+,Male,BACHELORS,DAILY,5,NA,NA,WEEKLY_ONCE,RARELY,-1,-1,1,-1,-1,-1,-1,NA,WEEKLY_ONCE,YES,5,4,4,5,5,5,5,5,5,5,3,10,BUILTIN,YES,YES,YES,YES,YES
3509314,60+,Male,MASTERS,MONTHLY,5,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,WAITING,WEEKLY_ONCE,YES,5,5,5,1,4,5,4,5,5,5,1,5,BUILTIN,YES,YES,NO,YES,NO
3542894,25-39,Male,MASTERS,DAILY,6,YES,YES,WEEKLY_ONCE,WEEKLY_ONCE,-1,-1,-1,-1,-1,-1,-1,WAITING,RARELY,NA,5,5,5,5,5,5,5,5,5,5,5,7,BUILTIN,NO,YES,YES,YES,NO
3498377,40-59,Female,HIGHSCHOOL,WEEKLY_MULTI,7,YES,YES,WEEKLY_MULTI,RARELY,1,-1,-1,-1,-1,-1,-1,WAITING,MONTHLY,NA,5,5,5,5,5,5,5,5,5,5,3,10,BUILTIN,YES,YES,NO,NO,NO
3498425,25-39,Male,MASTERS,WEEKLY_MULTI,5,YES,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,NA,2,5,2,2,5,5,3,3,5,5,5,8,THIRDPARTY,YES,YES,NA,NA,YES
3500276,25-39,Female,MASTERS,WEEKLY_ONCE,1,NO,NO,WEEKLY_MULTI,WEEKLY_MULTI,1,3,2,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,1,1,1,1,1,1,1,1,1,1,1,6,NOSHARE,NO,NO,NO,NO,NO
3514724,40-59,Female,DIPLOMA,WEEKLY_MULTI,4,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,1,-1,2,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,YES,3,3,3,2,2,2,2,2,2,3,2,5,NOSHARE,YES,YES,NO,NO,NO
3522462,25-39,Male,MASTERS,DAILY,1,NA,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,NO,1,3,3,1,3,1,1,1,5,5,1,1,NOSHARE,YES,YES,NA,NA,NO
3563572,60+,Male,OTHER,MONTHLY,3,YES,YES,WEEKLY_MULTI,RARELY,1,-1,-1,-1,-1,-1,-1,WAITING,RARELY,NA,4,2,3,5,5,5,5,5,3,4,2,6,THIRDPARTY,NA,YES,NO,NA,NO
